HRU_ID,2012,2013,2014,2015,2016
960,16,-999,-999,-999,-999
331,15,-999,-999,-999,-999
1320,16,-999,-999,-999,-999
1020,2,2,2,2,2
1319,16,-999,-999,-999,-999
1291,16,-999,-999,-999,-999
3264,2,2,2,2,2
2830,16,-999,-999,-999,-999
2831,16,-999,-999,-999,-999
956,16,-999,-999,-999,-999
1283,16,-999,-999,-999,-999
1284,5,5,5,5,5
1285,16,-999,-999,-999,-999
1286,16,-999,-999,-999,-999
1287,16,-999,-999,-999,-999
334,2,2,2,2,2
1289,16,-999,-999,-999,-999
1290,16,-999,-999,-999,-999
3263,2,2,2,2,2
1019,2,2,2,2,2
332,2,2,2,2,2
928,16,-999,-999,-999,-999
333,2,2,2,2,2
3266,2,2,2,2,2
3267,2,2,2,2,2
674,2,2,2,2,2
1555,2,2,2,2,2
757,2,2,2,2,2
758,2,2,2,2,2
755,2,2,2,2,2
756,2,2,2,2,2
753,2,2,2,2,2
754,28,19,28,19,28
751,2,2,2,2,2
752,2,2,2,2,2
759,15,-999,-999,-999,-999
760,2,2,2,2,2
1017,2,2,2,2,2
1151,8,-999,-999,-999,-999
1152,8,-999,-999,-999,-999
1147,8,-999,-999,-999,-999
1148,8,-999,-999,-999,-999
1149,8,-999,-999,-999,-999
1150,8,-999,-999,-999,-999
1143,5,5,5,5,5
1144,8,-999,-999,-999,-999
1145,8,-999,-999,-999,-999
1146,8,-999,-999,-999,-999
3092,15,-999,-999,-999,-999
208,5,5,5,5,5
209,5,5,5,5,5
202,2,2,2,2,2
203,15,-999,-999,-999,-999
200,15,-999,-999,-999,-999
201,2,2,2,2,2
206,2,2,2,2,2
207,15,-999,-999,-999,-999
204,15,-999,-999,-999,-999
205,5,5,5,5,5
3093,2,2,2,2,2
198,2,2,2,2,2
199,2,2,2,2,2
192,2,2,2,2,2
193,15,-999,-999,-999,-999
190,15,-999,-999,-999,-999
191,2,2,2,2,2
196,2,2,2,2,2
197,15,-999,-999,-999,-999
194,5,5,5,5,5
195,2,2,2,2,2
671,2,2,2,2,2
678,2,2,2,2,2
677,15,-999,-999,-999,-999
624,16,-999,-999,-999,-999
71,16,-999,-999,-999,-999
676,15,-999,-999,-999,-999
70,11,-999,-999,-999,-999
1327,16,-999,-999,-999,-999
1616,2,2,2,2,2
1329,16,-999,-999,-999,-999
675,2,2,2,2,2
1330,16,-999,-999,-999,-999
1619,2,2,2,2,2
2785,16,-999,-999,-999,-999
1617,2,2,2,2,2
1326,16,-999,-999,-999,-999
3181,28,19,19,28,19
3180,19,28,4,28,4
2317,2,2,2,2,2
1210,16,-999,-999,-999,-999
1209,11,-999,-999,-999,-999
1204,11,-999,-999,-999,-999
1203,11,-999,-999,-999,-999
1206,16,-999,-999,-999,-999
1205,11,-999,-999,-999,-999
856,5,5,5,5,5
419,2,2,2,2,2
2905,2,2,2,2,2
2904,5,5,5,5,5
2903,15,-999,-999,-999,-999
2902,2,2,2,2,2
2909,15,-999,-999,-999,-999
2908,2,2,2,2,2
2907,2,2,2,2,2
2906,2,2,2,2,2
149,16,-999,-999,-999,-999
2911,2,2,2,2,2
2910,2,2,2,2,2
148,16,-999,-999,-999,-999
679,2,2,2,2,2
145,16,-999,-999,-999,-999
144,16,-999,-999,-999,-999
147,16,-999,-999,-999,-999
2562,19,28,27,19,28
2561,2,2,2,2,2
2564,2,2,2,2,2
2563,2,2,2,2,2
2566,2,2,2,2,2
2565,2,2,2,2,2
2568,2,2,2,2,2
2567,2,2,2,2,2
2570,2,2,2,2,2
2569,2,2,2,2,2
416,15,-999,-999,-999,-999
143,16,-999,-999,-999,-999
142,5,5,5,5,5
2979,2,2,2,2,2
22,8,-999,-999,-999,-999
2977,2,2,2,2,2
2976,2,2,2,2,2
2250,2,2,2,2,2
2249,2,2,2,2,2
2973,2,2,2,2,2
23,8,-999,-999,-999,-999
2246,2,2,2,2,2
2245,2,2,2,2,2
2248,2,2,2,2,2
2247,2,2,2,2,2
2242,2,2,2,2,2
20,8,-999,-999,-999,-999
2244,2,2,2,2,2
2243,2,2,2,2,2
792,5,5,5,5,5
1860,2,2,2,2,2
1859,2,2,2,2,2
3299,2,2,2,2,2
1856,16,-999,-999,-999,-999
26,8,-999,-999,-999,-999
1858,-999,-999,-999,-999,-999
1857,16,-999,-999,-999,-999
1852,16,-999,-999,-999,-999
1854,2,2,2,2,2
27,8,-999,-999,-999,-999
584,15,-999,-999,-999,-999
583,16,-999,-999,-999,-999
582,16,-999,-999,-999,-999
581,16,-999,-999,-999,-999
588,16,-999,-999,-999,-999
587,16,-999,-999,-999,-999
586,16,-999,-999,-999,-999
585,16,-999,-999,-999,-999
3169,16,-999,-999,-999,-999
3168,2,2,2,2,2
590,16,-999,-999,-999,-999
3166,2,2,2,2,2
3165,16,-999,-999,-999,-999
3164,16,-999,-999,-999,-999
3163,16,-999,-999,-999,-999
3162,16,-999,-999,-999,-999
2476,2,2,2,2,2
854,28,19,19,19,19
2478,2,2,2,2,2
2477,2,2,2,2,2
2472,2,2,2,2,2
2471,2,2,2,2,2
2474,2,2,2,2,2
2473,2,2,2,2,2
2480,4,4,28,4,70
799,-999,-999,-999,-999,-999
2691,-999,-999,-999,-999,-999
2690,-999,-999,-999,-999,-999
3221,2,2,2,2,2
3220,2,2,2,2,2
2685,10,-999,-999,-999,-999
858,16,-999,-999,-999,-999
3219,2,2,2,2,2
2682,10,-999,-999,-999,-999
2689,5,5,5,5,5
2688,16,-999,-999,-999,-999
2687,11,-999,-999,-999,-999
857,16,-999,-999,-999,-999
1560,2,2,2,2,2
1559,16,-999,-999,-999,-999
1558,16,-999,-999,-999,-999
3460,-999,-999,-999,-999,-999
1556,2,2,2,2,2
1525,16,-999,-999,-999,-999
1554,2,2,2,2,2
1553,2,2,2,2,2
3455,2,2,2,2,2
3454,2,2,2,2,2
3453,2,2,2,2,2
3452,2,2,2,2,2
3459,-999,-999,-999,-999,-999
3458,-999,-999,-999,-999,-999
1562,16,-999,-999,-999,-999
1561,16,-999,-999,-999,-999
1384,2,2,2,2,2
1383,2,2,2,2,2
1386,2,2,2,2,2
1385,2,2,2,2,2
1388,2,2,2,2,2
1387,15,-999,-999,-999,-999
1390,2,2,2,2,2
1389,2,2,2,2,2
1392,2,2,2,2,2
1391,2,2,2,2,2
1738,2,2,2,2,2
1737,11,-999,-999,-999,-999
1736,5,5,5,5,5
1735,16,-999,-999,-999,-999
1734,2,2,2,2,2
1733,2,2,2,2,2
347,2,2,2,2,2
