HRU_ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2540,28,1,28,19,28,28,28,27,1,28,43,43
6909,21,10,12,11,11,6,16,91,11,91,91,1
2537,28,1,28,28,43,43,28,27,28,43,43,28
3203,52,52,28,28,12,19,19,19,1,19,27,28
3202,52,52,28,28,12,19,19,19,19,19,27,28
3201,52,52,28,28,19,19,19,19,19,19,27,28
3200,28,52,27,19,19,19,27,19,19,19,27,28
3207,31,27,28,27,28,1,28,27,1,1,28,1
3206,52,27,27,28,28,19,19,19,19,19,27,28
3205,52,27,28,28,28,19,19,19,19,19,27,28
3204,52,27,28,28,28,19,19,19,19,19,63,28
2535,16,16,12,16,1,16,16,16,16,16,16,16
3209,31,27,28,27,28,1,28,27,28,1,28,1
3208,31,27,28,27,28,1,28,27,1,1,28,1
2536,1,28,12,28,1,16,16,1,16,1,16,1
5470,52,43,43,52,28,43,43,43,43,43,43,43
2533,1,28,1,28,1,28,1,28,1,28,1,28
2534,28,16,12,16,16,16,16,16,1,16,16,16
5057,75,28,28,63,28,28,63,28,28,28,28,1
802,28,1,28,1,28,1,28,1,27,1,28,1
803,1,28,1,28,1,28,1,28,1,28,1,28
804,1,28,1,28,28,1,28,1,28,1,28,1
805,1,28,1,28,28,1,28,1,28,1,28,1
806,28,1,28,1,28,1,28,1,28,1,28,1
807,1,28,1,28,1,28,1,28,1,28,1,28
808,52,52,52,28,75,28,28,28,52,27,75,28
809,28,1,28,1,28,1,28,1,28,28,1,28
810,28,1,28,1,28,1,28,1,28,28,1,28
811,28,1,28,1,28,1,28,1,28,28,1,28
7492,28,1,28,1,28,1,28,1,28,1,28,1
7493,52,52,12,52,52,52,52,52,52,52,52,52
7488,52,28,27,5,19,19,19,19,1,19,75,28
7489,52,28,27,5,19,19,19,19,1,19,75,28
7490,52,28,27,5,19,19,52,19,19,19,75,28
7491,1,1,12,1,16,16,16,16,16,16,16,16
7484,12,28,12,16,16,16,16,16,16,1,1,16
7485,16,16,12,16,16,12,16,16,16,16,16,16
7486,52,28,12,12,16,12,16,16,16,16,16,16
7487,52,28,27,5,19,19,19,19,1,19,75,28
5059,28,28,28,63,28,28,28,28,28,28,28,63
4951,52,52,12,28,12,12,52,52,52,52,52,52
4950,28,75,28,28,1,28,28,1,28,28,28,28
4949,28,16,28,28,28,16,52,52,52,52,52,52
4948,52,52,12,52,52,52,52,52,52,52,52,52
4947,52,52,52,52,52,52,52,52,28,28,1,52
4946,16,16,12,16,16,16,16,16,16,16,16,12
4945,1,16,12,16,16,16,16,16,16,16,16,16
4944,27,52,52,52,52,52,52,52,52,52,52,52
