STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/15/1971,16.1,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/16/1971,15.6,5
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/17/1971,13.9,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/18/1971,13.9,0
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/19/1971,15.6,8.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/20/1971,16.7,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/21/1971,15.6,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/22/1971,16.7,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/23/1971,14.4,7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/24/1971,12.2,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/25/1971,15,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/26/1971,15,8.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/27/1971,13.9,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/28/1971,9.4,0
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/29/1971,6.1,-10
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/30/1971,6.1,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,10/31/1971,3.3,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/1/1971,11.7,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/2/1971,12.2,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/3/1971,16.1,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/4/1971,14.4,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/5/1971,12.8,-6.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/6/1971,7.2,-6.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/7/1971,7.2,-2.8
