Subbasin,LANDUSE,SOIL,SLOPE_BAND,AREA (ha),%SUBBASIN,HRUGIS
1,zuxs,64442,0-2.0,17.00000,0.58975,000010001
1,RNGB,64587,0-2.0,90.00000,3.20380,000010002
1,RNGB,64588,0-2.0,441.00000,15.61733,000010003
1,RNGB,64496,0-2.0,66.00000,2.32076,000010004
1,RNGB,64496,2.0-5.0,7.00000,0.24547,000010005
1,RNGB,64466,0-2.0,64.00000,2.26657,000010006
1,RNGB,64466,2.0-5.0,7.00000,0.23271,000010007
1,RNGB,64466,5.0-9999,6.00000,0.20084,000010008
1,RNGB,64442,0-2.0,56.00000,1.99560,000010009
1,RNGB,64442,2.0-5.0,44.00000,1.54292,000010010
1,RNGB,64442,5.0-9999,8.00000,0.27416,000010011
1,zuxq,64480,0-2.0,2.00000,0.08288,000010012
1,CORN,64554,0-2.0,1.00000,0.04782,000010013
1,CORN,64554,2.0-5.0,1.00000,0.03188,000010014
1,CORN,64436,0-2.0,0.00000,0.01594,000010015
1,CORN,64436,2.0-5.0,0.00000,0.00956,000010016
1,CORN,64442,0-2.0,1.00000,0.02869,000010017
1,CORN,64442,2.0-5.0,0.00000,0.00319,000010018
1,zuwx,64442,2.0-5.0,6.00000,0.19765,000010019
1,RYE,64442,0-2.0,0.00000,0.01275,000010020
1,OATS,64442,0-2.0,0.00000,0.00319,000010021
1,zuuy,64442,2.0-5.0,8.00000,0.27097,000010022
1,zuux,64442,2.0-5.0,8.00000,0.28691,000010023
1,URLD,64555,2.0-5.0,7.00000,0.24228,000010025
1,URLD,64555,5.0-9999,13.00000,0.47499,000010026
1,URLD,64587,0-2.0,20.00000,0.69814,000010024
1,URLD,64588,0-2.0,33.00000,1.17951,000010027
1,URLD,64496,0-2.0,66.00000,2.32395,000010028
1,URLD,64496,2.0-5.0,6.00000,0.19765,000010029
1,URLD,64466,0-2.0,44.00000,1.57480,000010030
1,URLD,64466,2.0-5.0,5.00000,0.18808,000010031
1,URLD,64442,0-2.0,36.00000,1.26239,000010032
1,URLD,64442,2.0-5.0,21.00000,0.75234,000010033
1,URLD,64442,5.0-9999,4.00000,0.13708,000010034
1,URLD,64571,2.0-5.0,3.00000,0.11158,000010035
1,URLD,64571,5.0-9999,16.00000,0.57063,000010036
1,URMD,64555,0-2.0,1.00000,0.04144,000010042
1,URMD,64555,2.0-5.0,5.00000,0.18808,000010043
1,URMD,64555,5.0-9999,8.00000,0.28372,000010044
1,URMD,64554,0-2.0,8.00000,0.28053,000010039
1,URMD,64554,2.0-5.0,9.00000,0.31879,000010040
1,URMD,64554,5.0-9999,3.00000,0.08926,000010041
1,URMD,64587,0-2.0,12.00000,0.43674,000010037
1,URMD,64587,2.0-5.0,3.00000,0.11795,000010038
1,URMD,64496,0-2.0,27.00000,0.94042,000010045
1,URMD,64496,2.0-5.0,4.00000,0.15302,000010046
1,URMD,64466,0-2.0,64.00000,2.26019,000010047
1,URMD,64442,0-2.0,61.00000,2.16775,000010048
1,URMD,64442,2.0-5.0,28.00000,0.98824,000010049
1,URMD,64571,2.0-5.0,4.00000,0.13070,000010050
1,URMD,64571,5.0-9999,10.00000,0.34110,000010051
1,ALFA,64554,0-2.0,6.00000,0.22634,000010052
1,ALFA,64554,2.0-5.0,1.00000,0.03825,000010053
1,ALFA,64588,0-2.0,26.00000,0.92129,000010054
1,ALFA,64496,0-2.0,72.00000,2.53435,000010055
1,zutu,64442,0-2.0,4.00000,0.13389,000010056
1,zusz,64442,0-2.0,1.00000,0.03507,000010057
1,zusx,64496,0-2.0,1.00000,0.01913,000010058
1,PEAS,64496,0-2.0,4.00000,0.15302,000010059
1,PEAS,64466,0-2.0,6.00000,0.20084,000010060
1,PEAS,64588,0-2.0,7.00000,0.23909,000010061
1,zury,64442,0-2.0,6.00000,0.22315,000010062
1,POTA,64480,0-2.0,0.00000,0.00319,000010063
1,POTA,64442,0-2.0,1.00000,0.05101,000010064
1,POTA,64442,2.0-5.0,0.00000,0.00956,000010065
1,CRRT,64442,0-2.0,0.00000,0.00956,000010066
1,zurs,64466,0-2.0,2.00000,0.08288,000010067
1,uyqs,64442,0-2.0,0.00000,0.00319,000010068
1,uyqr,64442,0-2.0,3.00000,0.11795,000010069
1,uyqq,64442,0-2.0,6.00000,0.21996,000010070
1,uxzz,64442,0-2.0,0.00000,0.00956,000010071
1,uxzy,64442,0-2.0,10.00000,0.34748,000010072
1,uxzx,64442,0-2.0,0.00000,0.01275,000010073
1,zuqu,64442,2.0-5.0,4.00000,0.13070,000010074
1,STRW,64480,2.0-5.0,0.00000,0.00956,000010075
1,STRW,64480,5.0-9999,0.00000,0.00638,000010076
1,STRW,64481,0-2.0,0.00000,0.00319,000010077
1,zuxr,64442,0-2.0,14.00000,0.48137,000010078
1,uxwu,64442,0-2.0,23.00000,0.80015,000010079
1,RADI,64480,2.0-5.0,1.00000,0.02232,000010080
1,RADI,64480,5.0-9999,1.00000,0.03507,000010081
1,RADI,64554,0-2.0,0.00000,0.00956,000010082
1,RADI,64554,2.0-5.0,1.00000,0.05101,000010083
1,RADI,64554,5.0-9999,0.00000,0.00319,000010084
1,RADI,64496,0-2.0,8.00000,0.28372,000010085
1,RADI,64496,2.0-5.0,1.00000,0.01913,000010086
1,RADI,64442,0-2.0,1.00000,0.03507,000010087
1,RADI,64442,2.0-5.0,0.00000,0.00956,000010088
1,RADI,64442,5.0-9999,0.00000,0.00319,000010089
1,MINT,64496,0-2.0,0.00000,0.00319,000010090
1,MINT,64554,0-2.0,0.00000,0.00956,000010091
1,MINT,64554,2.0-5.0,0.00000,0.01275,000010092
1,MINT,64436,0-2.0,0.00000,0.00319,000010093
1,MINT,64442,0-2.0,1.00000,0.03188,000010094
1,ztwt,64554,2.0-5.0,16.00000,0.56106,000010123
1,yyuu,64466,0-2.0,40.00000,1.40266,000010096
1,zttz,64442,0-2.0,1.00000,0.01913,000010097
1,uxtq,64442,0-2.0,10.00000,0.33791,000010098
1,zttv,64442,0-2.0,8.00000,0.29647,000010099
1,zttu,64442,0-2.0,1.00000,0.04463,000010100
1,zttt,64442,2.0-5.0,33.00000,1.15401,000010101
1,zyur,64554,2.0-5.0,8.00000,0.26778,000010102
1,zytz,64442,0-2.0,70.00000,2.47059,000010103
1,zytz,64442,2.0-5.0,26.00000,0.90854,000010104
1,zytt,64442,2.0-5.0,0.00000,0.00638,000010105
1,zyts,64472,0-2.0,12.00000,0.41442,000010106
1,zysq,64436,0-2.0,14.00000,0.48137,000010107
1,ztqu,64442,2.0-5.0,2.00000,0.07970,000010108
1,zyrv,64442,0-2.0,0.00000,0.00319,000010109
1,vsqt,64442,0-2.0,0.00000,0.00319,000010110
1,vsqs,64442,0-2.0,0.00000,0.01275,000010111
1,vsqr,64442,0-2.0,46.00000,1.64494,000010112
1,uyxy,64442,0-2.0,0.00000,0.00319,000010113
1,vryz,64442,0-2.0,1.00000,0.04463,000010114
1,vryy,64442,0-2.0,49.00000,1.73420,000010115
1,vryx,64442,0-2.0,0.00000,0.00956,000010116
1,vrxu,64442,2.0-5.0,4.00000,0.12751,000010117
1,vrxt,64442,2.0-5.0,24.00000,0.83841,000010118
1,vrxs,64442,2.0-5.0,20.00000,0.70133,000010119
1,vrxr,64442,2.0-5.0,8.00000,0.27097,000010120
1,vrxq,64442,2.0-5.0,1.00000,0.02869,000010121
1,zsvz,64442,2.0-5.0,1.00000,0.03188,000010122
1,uxvv,64466,0-2.0,9.00000,0.30922,000010095
1,zsvt,64442,0-2.0,3.00000,0.09245,000010124
1,zsvs,64588,0-2.0,16.00000,0.58338,000010125
1,zsvq,64555,2.0-5.0,16.00000,0.57381,000010126
1,zsrw,64442,2.0-5.0,0.00000,0.01594,000010127
1,zsrt,64442,0-2.0,0.00000,0.00319,000010128
1,zsrq,64442,0-2.0,12.00000,0.43674,000010129
1,vrrr,64442,0-2.0,0.00000,0.00638,000010130
1,vrrq,64442,0-2.0,21.00000,0.74596,000010131
1,vrqz,64442,0-2.0,4.00000,0.13708,000010132
1,yrwx,64442,2.0-5.0,2.00000,0.06057,000010133
1,zutw,64442,0-2.0,5.00000,0.15939,000010134
1,zrxs,64466,2.0-5.0,1.00000,0.03188,000010135
1,zwvy,64442,0-2.0,2.00000,0.08607,000010136
1,zrtq,64555,2.0-5.0,6.00000,0.22315,000010137
1,yrqv,64480,2.0-5.0,31.00000,1.10300,000010138
1,yrqu,64481,5.0-9999,9.00000,0.33473,000010139
1,yrqt,64480,2.0-5.0,7.00000,0.23909,000010140
1,ztqy,64442,0-2.0,9.00000,0.31879,000010141
1,zwtw,64442,0-2.0,2.00000,0.05738,000010142
1,zvzr,64442,0-2.0,15.00000,0.54831,000010143
1,zvyu,64442,2.0-5.0,1.00000,0.03825,000010144
1,yuzs,64496,0-2.0,2.00000,0.07332,000010145
1,CELR,64442,0-2.0,2.00000,0.07651,000010146
1,CELR,64442,2.0-5.0,1.00000,0.02550,000010147
1,uxzw,64442,0-2.0,0.00000,0.00956,000010148
1,zuzx,64442,0-2.0,4.00000,0.14983,000010149
1,zuyz,64442,0-2.0,1.00000,0.04144,000010150
1,uyyq,64442,0-2.0,0.00000,0.00319,000010151
2,AGRL,64566,2.0-5.0,17.00000,0.26847,000020010
2,AGRL,64566,5.0-9999,273.00000,4.35444,000020011
2,OATS,64561,2.0-5.0,7.00000,0.11629,000020028
2,OATS,64561,5.0-9999,133.00000,2.12051,000020029
2,OATS,64566,5.0-9999,153.00000,2.44785,000020021
2,vuuq,64564,5.0-9999,44.00000,0.70349,000020049
2,RNGB,64518,5.0-9999,20.00000,0.32447,000020052
2,RNGB,64565,5.0-9999,53.00000,0.85280,000020063
2,RNGB,64566,5.0-9999,21.00000,0.33308,000020051
2,RNGB,64527,0-2.0,5.00000,0.08183,000020055
2,RNGB,64527,2.0-5.0,6.00000,0.08901,000020056
2,RNGB,64527,5.0-9999,72.00000,1.14568,000020057
2,RADI,64527,2.0-5.0,0.00000,0.00144,000020069
2,RADI,64527,5.0-9999,0.00000,0.00287,000020070
3,vrsx,64453,2.0-5.0,39.00000,1.38520,000030001
3,ytrz,64556,0-2.0,39.00000,1.39168,000030002
3,ytry,64556,0-2.0,1.00000,0.02589,000030003
3,ytrr,64556,0-2.0,1.00000,0.04531,000030004
3,ytqy,64556,0-2.0,2.00000,0.07767,000030005
3,POTA,64556,0-2.0,1.00000,0.01942,000030010
3,yszw,64556,0-2.0,1.00000,0.03884,000030007
3,vssr,64556,0-2.0,29.00000,1.03890,000030008
3,vssq,64556,0-2.0,5.00000,0.17153,000030009
3,vrzt,64556,0-2.0,1.00000,0.04855,000030006
3,vrzs,64556,0-2.0,36.00000,1.27840,000030011
3,ysws,64453,0-2.0,1.00000,0.05178,000030012
3,ysvy,64556,0-2.0,7.00000,0.25244,000030013
3,ysvq,64556,0-2.0,3.00000,0.11328,000030014
3,ysuu,64556,0-2.0,15.00000,0.53402,000030015
3,ystt,64556,0-2.0,7.00000,0.26539,000030016
3,ysts,64556,0-2.0,14.00000,0.50812,000030017
3,utzq,64554,0-2.0,1.00000,0.03236,000030018
3,vrvx,64453,0-2.0,25.00000,0.90621,000030019
3,ysst,64556,0-2.0,14.00000,0.50165,000030020
3,ysss,64556,0-2.0,17.00000,0.60522,000030021
3,yssr,64556,0-2.0,1.00000,0.04855,000030022
3,yssq,64556,0-2.0,3.00000,0.09386,000030023
3,vruw,64453,0-2.0,40.00000,1.43699,000030024
3,vruv,64453,2.0-5.0,40.00000,1.42404,000030025
3,ytuq,64453,0-2.0,1540.00000,55.38870,000030026
3,ytuq,64453,2.0-5.0,222.00000,8.00052,000030027
3,ytuq,64556,0-2.0,462.00000,16.59978,000030028
3,ytuq,64556,2.0-5.0,57.00000,2.04544,000030029
3,yttz,64453,0-2.0,17.00000,0.60845,000030030
3,utyz,64556,0-2.0,1.00000,0.02589,000030031
6,AGRL,64564,2.0-5.0,20.00000,0.34204,000060011
6,AGRL,64564,5.0-9999,96.00000,1.61786,000060012
6,AGRL,64565,2.0-5.0,14.00000,0.23761,000060013
6,AGRL,64565,5.0-9999,201.00000,3.37647,000060014
6,AGRL,64566,2.0-5.0,19.00000,0.32387,000060001
6,AGRL,64566,5.0-9999,213.00000,3.57624,000060002
6,RNGB,64576,2.0-5.0,17.00000,0.27847,000060017
6,RNGB,64576,5.0-9999,142.00000,2.38365,000060018
6,RNGB,64577,2.0-5.0,6.00000,0.09383,000060019
6,RNGB,64577,5.0-9999,67.00000,1.12599,000060020
6,RNGB,64564,2.0-5.0,31.00000,0.52667,000060028
6,RNGB,64564,5.0-9999,107.00000,1.79493,000060029
6,RNGB,64565,2.0-5.0,8.00000,0.13924,000060030
6,RNGB,64565,5.0-9999,78.00000,1.31366,000060031
6,RNGB,64566,2.0-5.0,8.00000,0.14226,000060021
6,RNGB,64566,5.0-9999,95.00000,1.60424,000060022
6,RNGB,64575,2.0-5.0,47.00000,0.79304,000060034
6,RNGB,64575,5.0-9999,86.00000,1.45289,000060035
6,vtxr,64566,5.0-9999,52.00000,0.88233,000060037
6,OATS,64566,2.0-5.0,16.00000,0.26485,000060053
6,OATS,64566,5.0-9999,204.00000,3.43549,000060054
6,xxyw,64577,5.0-9999,0.00000,0.00151,000060055
6,vuxx,64575,5.0-9999,30.00000,0.50397,000060056
6,yzrs,64502,2.0-5.0,0.00000,0.00757,000060060
6,vuvq,64575,5.0-9999,1.00000,0.01967,000060061
6,vuuz,64575,5.0-9999,27.00000,0.45554,000060062
6,ztzy,64577,5.0-9999,47.00000,0.78698,000060070
8,AGRL,64433,5.0-9999,616.00000,5.88149,000080007
8,RNGB,64547,0-2.0,3.00000,0.02408,000080011
8,RNGB,64547,2.0-5.0,3.00000,0.02494,000080012
8,RNGB,64547,5.0-9999,24.00000,0.22962,000080013
8,RNGB,64566,5.0-9999,95.00000,0.90729,000080027
8,RNGB,64518,5.0-9999,45.00000,0.43430,000080017
8,RNGB,64527,5.0-9999,81.00000,0.76969,000080029
8,RNGB,64433,5.0-9999,24.00000,0.23306,000080024
8,RNGB,64502,0-2.0,9.00000,0.08428,000080014
8,RNGB,64502,2.0-5.0,9.00000,0.08256,000080015
8,RNGB,64502,5.0-9999,19.00000,0.17802,000080016
8,RNGB,64431,5.0-9999,42.00000,0.40162,000080028
8,vtxq,64566,5.0-9999,62.00000,0.58996,000080031
8,vuuu,64547,5.0-9999,38.00000,0.36722,000080060
8,vuus,64433,5.0-9999,59.00000,0.56846,000080062
8,RADI,64547,0-2.0,0.00000,0.00172,000080072
8,RADI,64547,5.0-9999,0.00000,0.00172,000080074
9,OATS,64429,2.0-5.0,87.00000,2.41060,000090001
9,OATS,64429,5.0-9999,278.00000,7.71443,000090002
9,OATS,64430,5.0-9999,141.00000,3.91598,000090004
9,OATS,64433,5.0-9999,173.00000,4.81120,000090006
9,AGRL,64429,2.0-5.0,154.00000,4.27107,000090007
9,AGRL,64429,5.0-9999,422.00000,11.73543,000090008
9,AGRL,64430,5.0-9999,218.00000,6.04651,000090011
9,AGRL,64433,2.0-5.0,26.00000,0.71518,000090013
9,AGRL,64433,5.0-9999,168.00000,4.67117,000090014
9,AGRL,64566,2.0-5.0,5.00000,0.14004,000090015
9,AGRL,64566,5.0-9999,58.00000,1.60290,000090016
9,RNGB,64429,2.0-5.0,53.00000,1.47037,000090020
9,RNGB,64429,5.0-9999,204.00000,5.68142,000090021
9,RNGB,64430,5.0-9999,188.00000,5.22131,000090023
9,RNGB,64433,2.0-5.0,23.00000,0.63266,000090024
9,RNGB,64433,5.0-9999,348.00000,9.68242,000090025
9,RNGB,64566,2.0-5.0,8.00000,0.21005,000090018
9,RNGB,64566,5.0-9999,95.00000,2.63066,000090019
9,RNGB,64431,2.0-5.0,9.00000,0.26007,000090026
9,RNGB,64431,5.0-9999,124.00000,3.43836,000090027
11,vvrz,61296,2.0-5.0,19.00000,0.35652,000110001
11,yqxy,64466,0-2.0,4.00000,0.07640,000110002
11,ysqt,61349,0-2.0,3.00000,0.06282,000110010
11,vvrs,61400,0-2.0,1.00000,0.02037,000110011
11,vvrr,61400,0-2.0,6.00000,0.11035,000110012
11,vvrq,61400,0-2.0,10.00000,0.18165,000110013
11,yrzx,64554,0-2.0,8.00000,0.14431,000110014
11,yrzx,64554,2.0-5.0,11.00000,0.20882,000110015
11,yrzx,64554,5.0-9999,5.00000,0.08828,000110016
11,yrzx,64555,2.0-5.0,1.00000,0.01528,000110017
11,yrzx,64555,5.0-9999,9.00000,0.17826,000110018
11,yrzx,64557,0-2.0,10.00000,0.18165,000110019
11,yrzx,64557,2.0-5.0,19.00000,0.36501,000110020
11,yrzx,64557,5.0-9999,23.00000,0.43122,000110021
11,yrzx,64575,0-2.0,36.00000,0.68078,000110022
11,yrzx,64575,2.0-5.0,3.00000,0.05263,000110023
11,yrzx,64454,0-2.0,8.00000,0.15958,000110024
11,yrzx,64454,2.0-5.0,4.00000,0.08149,000110025
11,yrzx,64454,5.0-9999,1.00000,0.01358,000110026
11,vvqy,61348,2.0-5.0,44.00000,0.82678,000110027
11,vwux,64575,2.0-5.0,37.00000,0.68927,000110028
11,vvqu,64573,2.0-5.0,42.00000,0.79283,000110029
11,xwxr,64564,0-2.0,101.00000,1.90143,000110037
11,xwxr,64564,2.0-5.0,9.00000,0.17486,000110038
11,xwxr,61334,0-2.0,342.00000,6.44959,000110039
11,xwxr,61334,2.0-5.0,107.00000,2.01857,000110040
11,xwxr,61334,5.0-9999,34.00000,0.64852,000110041
11,xwxr,61335,0-2.0,10.00000,0.19354,000110042
11,xwxr,61335,2.0-5.0,40.00000,0.74529,000110043
11,xwxr,61335,5.0-9999,77.00000,1.44305,000110044
11,xwxr,61337,0-2.0,433.00000,8.16427,000110045
11,xwxr,61337,2.0-5.0,27.00000,0.50422,000110046
11,xwxr,61338,0-2.0,85.00000,1.60433,000110047
11,xwxr,61338,2.0-5.0,12.00000,0.22410,000110048
11,xwxr,64575,0-2.0,138.00000,2.59410,000110049
11,xwxr,64575,2.0-5.0,12.00000,0.23428,000110050
11,vwsy,64554,2.0-5.0,1.00000,0.01358,000110032
11,vwsx,64557,2.0-5.0,2.00000,0.03395,000110033
11,vwsw,64554,2.0-5.0,47.00000,0.88451,000110034
11,vwsv,64573,2.0-5.0,0.00000,0.00170,000110035
11,vwsu,64466,2.0-5.0,43.00000,0.80302,000110036
11,vwst,64573,2.0-5.0,2.00000,0.03395,000110030
11,xwxq,61337,0-2.0,43.00000,0.80981,000110051
11,xwxq,61334,0-2.0,130.00000,2.44300,000110054
11,xwxq,61335,0-2.0,7.00000,0.12903,000110052
11,xwxq,61335,2.0-5.0,5.00000,0.09168,000110053
11,xwwz,61337,0-2.0,3.00000,0.06282,000110055
11,RYE,64575,0-2.0,0.00000,0.00340,000110056
11,OATS,61337,0-2.0,18.00000,0.34633,000110057
11,OATS,61337,2.0-5.0,7.00000,0.13582,000110058
11,OATS,61338,0-2.0,3.00000,0.06282,000110059
11,OATS,61338,2.0-5.0,1.00000,0.01867,000110060
11,yrxu,61295,0-2.0,14.00000,0.27333,000110063
11,yrxu,61295,2.0-5.0,5.00000,0.10016,000110064
11,yrxu,61296,0-2.0,6.00000,0.10865,000110065
11,yrxu,61296,2.0-5.0,16.00000,0.30219,000110066
11,yrxu,61296,5.0-9999,12.00000,0.22919,000110067
11,yrxu,61349,0-2.0,48.00000,0.90658,000110061
11,yrxu,61349,2.0-5.0,10.00000,0.18845,000110062
11,zvvz,61337,0-2.0,3.00000,0.05093,000110107
11,yszz,61353,0-2.0,2.00000,0.03395,000110068
11,yszz,61353,2.0-5.0,2.00000,0.03905,000110069
11,yszz,61353,5.0-9999,1.00000,0.02037,000110070
11,yszz,61360,0-2.0,10.00000,0.18675,000110071
11,yszz,61360,2.0-5.0,6.00000,0.11035,000110072
11,yszz,61361,0-2.0,10.00000,0.18675,000110073
11,yszz,61361,2.0-5.0,3.00000,0.05602,000110074
11,yszz,61362,0-2.0,1.00000,0.01188,000110075
11,yszz,61362,2.0-5.0,2.00000,0.03565,000110076
11,yszz,61362,5.0-9999,4.00000,0.06961,000110077
11,yszz,61363,0-2.0,24.00000,0.46008,000110078
11,yszz,61363,2.0-5.0,7.00000,0.13242,000110079
11,yrxq,61296,0-2.0,1.00000,0.02207,000110080
11,yrxq,61296,2.0-5.0,5.00000,0.09677,000110081
11,yrxq,61296,5.0-9999,2.00000,0.03565,000110082
11,yrxq,61295,0-2.0,2.00000,0.02886,000110090
11,yrxq,61295,2.0-5.0,2.00000,0.04414,000110091
11,yrxq,61349,0-2.0,2.00000,0.04244,000110085
11,yrxq,61349,2.0-5.0,3.00000,0.04754,000110086
11,yrxq,61326,0-2.0,1.00000,0.01528,000110087
11,yrxq,61326,2.0-5.0,2.00000,0.03056,000110088
11,yrxq,61326,5.0-9999,1.00000,0.01867,000110089
11,yrxq,61279,0-2.0,2.00000,0.04414,000110083
11,yrxq,61279,2.0-5.0,1.00000,0.01528,000110084
11,vuyr,64575,0-2.0,23.00000,0.43461,000110092
11,yrwy,61296,0-2.0,1.00000,0.01528,000110093
11,yrwy,61296,2.0-5.0,0.00000,0.00340,000110094
11,yrwy,61348,2.0-5.0,1.00000,0.01019,000110095
11,yrwy,61348,5.0-9999,0.00000,0.00509,000110096
11,yrwy,61349,0-2.0,1.00000,0.02716,000110097
11,yrwy,61349,2.0-5.0,1.00000,0.01019,000110098
11,yrwy,61350,0-2.0,1.00000,0.01358,000110099
11,yrwy,61350,2.0-5.0,1.00000,0.01867,000110100
11,yrwy,61350,5.0-9999,2.00000,0.04584,000110101
11,vxtv,64557,2.0-5.0,1.00000,0.01528,000110102
11,vwsz,64466,2.0-5.0,33.00000,0.62985,000110031
11,ALFA,64467,5.0-9999,0.00000,0.00679,000110108
11,ALFA,64573,2.0-5.0,0.00000,0.00170,000110109
11,ALFA,64574,2.0-5.0,0.00000,0.00170,000110110
11,ALFA,64574,5.0-9999,0.00000,0.00340,000110111
11,ALFA,64575,0-2.0,0.00000,0.00340,000110112
11,vvzu,64575,0-2.0,18.00000,0.33445,000110105
11,yrzy,64557,2.0-5.0,4.00000,0.06961,000110106
11,vvzr,64466,0-2.0,0.00000,0.00170,000110131
11,vvzv,64559,2.0-5.0,59.00000,1.11200,000110104
11,wqwu,64575,0-2.0,0.00000,0.00340,000110135
11,vvqz,61348,5.0-9999,2.00000,0.04244,000110113
11,ONIO,64554,0-2.0,0.00000,0.00170,000110114
11,ONIO,64554,2.0-5.0,0.00000,0.00340,000110115
11,ONIO,64555,5.0-9999,0.00000,0.00170,000110116
11,ONIO,64557,2.0-5.0,0.00000,0.00849,000110117
11,vvxt,61349,0-2.0,28.00000,0.53138,000110118
11,vwvw,61337,0-2.0,58.00000,1.08823,000110173
11,vvxr,61402,2.0-5.0,5.00000,0.08489,000110128
11,vvxq,61361,2.0-5.0,2.00000,0.03226,000110129
11,vwzv,61363,0-2.0,12.00000,0.21731,000110130
11,vvsx,64467,2.0-5.0,46.00000,0.87092,000110174
11,vvsw,64467,5.0-9999,2.00000,0.03226,000110175
11,vwvs,64454,2.0-5.0,3.00000,0.05942,000110136
11,ysus,61400,0-2.0,4.00000,0.08149,000110134
11,vuys,64575,0-2.0,1.00000,0.01188,000110140
11,vvuy,61347,2.0-5.0,25.00000,0.47196,000110132
11,vvux,61350,5.0-9999,2.00000,0.03226,000110137
11,vvuw,61350,5.0-9999,21.00000,0.40236,000110138
11,xyqw,61337,0-2.0,0.00000,0.00509,000110139
11,yssw,64589,0-2.0,5.00000,0.10186,000110003
11,yssw,64589,2.0-5.0,2.00000,0.04584,000110004
11,yssw,64466,0-2.0,14.00000,0.25805,000110005
11,yssw,64466,2.0-5.0,3.00000,0.05433,000110006
11,yssw,61400,0-2.0,3.00000,0.05942,000110007
11,yssw,61349,0-2.0,11.00000,0.19863,000110008
11,yssw,61349,2.0-5.0,2.00000,0.03056,000110009
11,yssv,64578,0-2.0,0.00000,0.00679,000110141
11,yssv,64578,2.0-5.0,1.00000,0.01188,000110142
11,yssv,64454,0-2.0,1.00000,0.02037,000110143
11,yssv,64454,2.0-5.0,0.00000,0.00679,000110144
11,yssv,64454,5.0-9999,0.00000,0.00170,000110145
11,yssv,61360,0-2.0,1.00000,0.01188,000110146
11,yssv,61360,2.0-5.0,0.00000,0.00170,000110147
11,yssv,61361,0-2.0,1.00000,0.02716,000110148
11,yssv,61361,2.0-5.0,0.00000,0.00340,000110149
11,yssv,64573,0-2.0,1.00000,0.02377,000110150
11,yssv,64573,2.0-5.0,1.00000,0.02547,000110151
11,yssv,64573,5.0-9999,0.00000,0.00849,000110152
11,yssv,64574,0-2.0,0.00000,0.00170,000110153
11,yssv,64574,2.0-5.0,0.00000,0.00849,000110154
11,yssv,64574,5.0-9999,0.00000,0.00679,000110155
11,vvtw,64554,2.0-5.0,20.00000,0.37350,000110156
11,ytuz,61350,2.0-5.0,0.00000,0.00340,000110157
11,ytuz,61350,5.0-9999,0.00000,0.00340,000110158
11,ytuz,64553,2.0-5.0,1.00000,0.01358,000110159
11,ytuz,64554,0-2.0,0.00000,0.00849,000110160
11,ytuz,64554,2.0-5.0,1.00000,0.01867,000110161
11,ytuz,64555,2.0-5.0,0.00000,0.00170,000110162
11,ytuz,64555,5.0-9999,0.00000,0.00340,000110163
11,ytuz,61295,2.0-5.0,0.00000,0.00679,000110164
11,yttx,61334,0-2.0,16.00000,0.30389,000110194
11,ytuv,61350,2.0-5.0,1.00000,0.01867,000110166
11,ytuv,61350,5.0-9999,0.00000,0.00679,000110167
11,ytuv,64557,0-2.0,0.00000,0.00170,000110168
11,ytuv,64557,2.0-5.0,0.00000,0.00849,000110169
11,ytuv,61326,2.0-5.0,1.00000,0.01188,000110170
11,ytuv,64466,0-2.0,5.00000,0.09337,000110171
11,ytuv,64466,2.0-5.0,1.00000,0.02207,000110172
11,ytuu,64553,0-2.0,0.00000,0.00679,000110119
11,ytuu,64553,2.0-5.0,1.00000,0.01188,000110120
11,ytuu,64553,5.0-9999,1.00000,0.01528,000110121
11,ytuu,64554,0-2.0,1.00000,0.01528,000110122
11,ytuu,64555,0-2.0,2.00000,0.03056,000110123
11,ytuu,64555,2.0-5.0,1.00000,0.02547,000110124
11,ytuu,64555,5.0-9999,3.00000,0.05602,000110125
11,ytuu,64557,0-2.0,0.00000,0.00509,000110126
11,ytuu,64557,2.0-5.0,1.00000,0.01528,000110127
11,ysrv,61279,0-2.0,3.00000,0.05942,000110103
11,ysru,61400,0-2.0,5.00000,0.10016,000110133
11,vwvt,61334,0-2.0,27.00000,0.50761,000110176
11,ytuq,61350,2.0-5.0,32.00000,0.59420,000110177
11,ytuq,61350,5.0-9999,127.00000,2.39037,000110178
11,ytuq,64557,0-2.0,14.00000,0.26654,000110179
11,ytuq,64557,2.0-5.0,61.00000,1.15444,000110180
11,ytuq,64557,5.0-9999,110.00000,2.06611,000110181
11,ytuq,64577,2.0-5.0,20.00000,0.38538,000110182
11,ytuq,64577,5.0-9999,140.00000,2.64333,000110183
11,ytuq,64454,0-2.0,45.00000,0.84206,000110184
11,ytuq,64454,2.0-5.0,60.00000,1.13407,000110185
11,ytuq,64454,5.0-9999,71.00000,1.33100,000110186
11,ytuq,64589,0-2.0,30.00000,0.55685,000110187
11,ytuq,64589,2.0-5.0,72.00000,1.35647,000110188
11,ytuq,64589,5.0-9999,66.00000,1.24612,000110189
11,ytuq,61284,2.0-5.0,12.00000,0.21900,000110190
11,ytuq,61284,5.0-9999,94.00000,1.76901,000110191
11,vwvr,61334,0-2.0,47.00000,0.88451,000110192
11,vwvq,64455,2.0-5.0,2.00000,0.04584,000110193
11,vwuz,61334,2.0-5.0,46.00000,0.86243,000110165
11,vwuy,64576,2.0-5.0,1.00000,0.01867,000110195
12,AGRL,64564,0-2.0,554.00000,7.13061,000120001
