 HRU   WRID   WSRC   PRIOR   WATER(acre-ft)   YEAR
  6376      449      1      1       2.4460054346   1997
  6377      769      4      1      25.6058299656   1997
  6378     1019      4      1       1.0324048912   1997
  6385     1250      4      1      17.1493042903   1997
  6388      769      4      1       0.6428534533   1997
  6389      794      4      1       0.5595205982   1997
  6391     1251      4      1       8.8921106406   1997
  6397     1208      4      1       1.2698339818   1997
  6398     1251      4      1       1.2067309239   1997
  6399     1611      4      1      38.7446639009   1997
  6400       63      1      1      14.1477464887   1997
  6400     1466      4      2       0.0000000000   1997
  6401     1263      4      1       0.6428534533   1997
  6411     1263      4      1       2.5413043476   1997
  6413      696      4      1       1.1904693579   1997
  6414     1460      4      1       1.8571321984   1997
  6415      444      1      1       1.2063422827   1997
  6416      444      1      1      76.8159557869   1997
  6416     1460      4      2       0.0000000000   1997
  6417      446      1      1       1.1587235084   1997
  6418      449      1      1       0.6031711414   1997
  6419     1460      4      1       0.2579350276   1997
  6421     1466      4      1       0.6349169909   1997
  6422     1666      4      1       8.5668997760   1997
  6423      965      4      1      38.0000000000   1997
  6425     1611      4      1      31.5597108653   1997
  6426     1666      4      1       0.0000000000   1997
  6428     1666      4      1       0.0000000000   1997
  6430      882      4      1      70.5036045178   1997
  6431     1207      4      1      49.5426709830   1997
  6432      882      4      1       6.6379916845   1997
  6433      696      4      1       0.0000000000   1997
  6434     1666      4      1       0.7224839895   1997
  6435     1208      4      1       5.4300948370   1997
  6437      445      1      1       0.0000000000   1997
  6440      769      4      1       1.2067309239   1997
  6441     1666      4      1      10.7106162183   1997
  6442     1019      4      1      17.7842212812   1997
  6451      895      4      1      12.8384142882   1997
  6452      882      4      1       4.9539480034   1997
  6453     1611      4      1       0.6428534533   1997
  6454     1502      4      1      19.0551802770   1997
  6467     1760      5      1       0.3748900752   1997
  6468     1788      5      1      63.6346934745   1997
  6493     1753      5      1       4.5455421614   1997
  6493     1614      3      2       0.0000000000   1997
  6495     1788      5      1     361.3686022779   1997
  6496     1754      5      1       8.7595691113   1997
  6496     1614      3      2       0.0000000000   1997
  6497     1757      5      1       2.2206289573   1997
  6498     1757      5      1      16.0685925434   1997
  6499     1757      5      1       6.7931394145   1997
  6500     1757      5      1      52.0263033044   1997
  6501     1757      5      1       7.7404136252   1997
  6502     1757      5      1       2.6455590643   1997
  6503     1757      5      1      33.0034518687   1997
  6504     1757      5      1      91.1195142620   1997
  6505     1757      5      1      19.5943639724   1997
  6506     1757      5      1     244.1095801561   1997
  6507     1757      5      1     326.5881140300   1997
  6508     1757      5      1     136.3488328626   1997
  6509     1757      5      1      18.5925891941   1997
  6510     1757      5      1     110.2213735760   1997
  6511     1757      5      1     196.4175331815   1997
  6512     1757      5      1      28.8055238635   1997
  6513     1757      5      1      56.9570409164   1997
  6514     1757      5      1      25.3432253438   1997
  6516     1759      5      1       0.2454832713   1997
  6517     1760      5      1       0.0000000000   1997
  6519     1788      5      1     226.5021540903   1997
  6521     1788      5      1       3.7472600949   1997
  6522     1760      5      1      64.4071608319   1997
  6522     1788      5      2       0.0000000000   1997
  6523     1741      5      1     151.2982923971   1997
  6533     1759      5      1      15.7383847303   1997
  6533     1788      5      2       0.0000000000   1997
  6535     1760      5      1       1.7797537171   1997
  6536     1788      5      1     170.1748177559   1997
  6537       79      1      1       0.0000000000   1997
  6562     1614      3      1       0.7849260949   1997
  6563     1753      5      1       2.3881810313   1997
  6563     1788      5      2       0.0000000000   1997
  6563     1614      3      3       0.0000000000   1997
  6564     1152      3      1       3.1699539890   1997
  6565     1788      5      1       9.6249130238   1997
  6566     1788      5      1      75.8291057395   1997
  6567     1788      5      1      61.0873943703   1997
  6568     1788      5      1     215.6357253156   1997
  6569     1788      5      1      55.5843238933   1997
  6570     1788      5      1      60.8306315836   1997
  6571     1788      5      1       0.0000000000   1997
  6572     1788      5      1     118.6773186412   1997
  6573     1788      5      1      56.1621427045   1997
  6574     1788      5      1     105.6117945295   1997
  6575     1788      5      1     364.9487204629   1997
  6576     1788      5      1      58.0392591476   1997
  6577     1788      5      1      55.5690452770   1997
  6578     1788      5      1     247.0435359207   1997
  6579     1788      5      1     239.3508551538   1997
  6580     1788      5      1      14.9873997226   1997
  6580     1614      3      2       0.0000000000   1997
  6581     1788      5      1      29.0718229677   1997
  6581     1135      3      2       0.0000000000   1997
  6581     1614      3      3       0.0000000000   1997
  6582     1726      5      1      67.3251714634   1997
  6582     1788      5      2       0.0000000000   1997
  6583     1753      5      1       2.3281945177   1997
  6583     1788      5      2       0.0000000000   1997
  6583     1614      3      3       0.0000000000   1997
  6584     1753      5      1      24.0221890095   1997
  6584     1788      5      2       0.0000000000   1997
  6584     1614      3      3       0.0000000000   1997
  6585     1753      5      1       5.8309967517   1997
  6585     1788      5      2       0.0000000000   1997
  6585     1614      3      3       0.0000000000   1997
  6586     1753      5      1      42.3535548812   1997
  6586     1788      5      2       0.0000000000   1997
  6586     1614      3      3       0.0000000000   1997
  6587     1753      5      1      32.9427475677   1997
  6587     1788      5      2       0.0000000000   1997
  6587     1614      3      3       0.0000000000   1997
  6588     1753      5      1      40.7048998953   1997
  6588     1788      5      2       0.0000000000   1997
  6588     1614      3      3       0.0000000000   1997
  6589     1753      5      1       8.8070456170   1997
  6589     1788      5      2       0.0000000000   1997
  6589     1614      3      3       0.0000000000   1997
  6590     1753      5      1      14.9037262267   1997
  6590     1788      5      2       0.0000000000   1997
  6590     1614      3      3       0.0000000000   1997
  6591     1753      5      1       5.6594968472   1997
  6591     1788      5      2       0.0000000000   1997
  6591     1614      3      3       0.0000000000   1997
  6592     1753      5      1       3.7741258497   1997
  6592     1788      5      2       0.0000000000   1997
  6592     1614      3      3       0.0000000000   1997
  6593     1753      5      1      18.7503998685   1997
  6593     1788      5      2       0.0000000000   1997
  6593     1614      3      3       0.0000000000   1997
  6594     1754      5      1       4.3112358644   1997
  6594     1788      5      2       0.0000000000   1997
  6594     1614      3      3       0.0000000000   1997
  6595     1759      5      1      40.1900412883   1997
  6595     1788      5      2       0.0000000000   1997
  6596     1760      5      1       4.4150074060   1997
  6596     1788      5      2       0.0000000000   1997
  6597     1760      5      1       6.0896309125   1997
  6597     1788      5      2       0.0000000000   1997
  6598     1760      5      1      24.3576007808   1997
  6598     1788      5      2       0.0000000000   1997
  6599     1760      5      1      42.2757262250   1997
  6599     1788      5      2       0.0000000000   1997
  6600     1760      5      1      31.1500736785   1997
  6600     1788      5      2       0.0000000000   1997
  6601     1760      5      1       0.0000000000   1997
  6601     1788      5      2       0.0000000000   1997
  6602     1760      5      1       4.6370087771   1997
  6602     1788      5      2       0.0000000000   1997
  6603     1760      5      1      16.4883955980   1997
  6603     1788      5      2       0.0000000000   1997
  6604     1760      5      1      18.0928553918   1997
  6604     1788      5      2       0.0000000000   1997
  6605     1760      5      1       8.7128103929   1997
  6605     1788      5      2       0.0000000000   1997
  6606     1760      5      1      82.9105905839   1997
  6606     1788      5      2       0.0000000000   1997
  6607     1760      5      1       9.3094454866   1997
  6607     1788      5      2       0.0000000000   1997
  6608     1760      5      1      33.3035895191   1997
  6608     1788      5      2       0.0000000000   1997
  6609     1760      5      1     115.5118764584   1997
  6609     1788      5      2       0.0000000000   1997
  6610     1760      5      1      19.8149297688   1997
  6610     1788      5      2       0.0000000000   1997
  6611     1761      5      1       1.9865533776   1997
  6611     1788      5      2       0.0000000000   1997
  6612     1761      5      1      16.7716139753   1997
  6612     1788      5      2       0.0000000000   1997
  6613     1761      5      1       7.1482390672   1997
  6613     1788      5      2       0.0000000000   1997
  6614     1761      5      1       4.5142671414   1997
  6614     1788      5      2       0.0000000000   1997
  6615     1761      5      1       1.3326747434   1997
  6615     1788      5      2       0.0000000000   1997
  6616     1761      5      1       8.0409614399   1997
  6616     1788      5      2       0.0000000000   1997
  6617     1761      5      1       6.9122921135   1997
  6617     1788      5      2       0.0000000000   1997
  6618     1761      5      1       0.9874703019   1997
  6618     1788      5      2       0.0000000000   1997
  6619     1761      5      1       7.4140254662   1997
  6619     1788      5      2       0.0000000000   1997
  6620     1761      5      1      18.2761987874   1997
  6620     1788      5      2       0.0000000000   1997
  6621     1761      5      1      24.3349135737   1997
  6621     1788      5      2       0.0000000000   1997
  6622     1761      5      1      11.3799030776   1997
  6622     1788      5      2       0.0000000000   1997
  6623     1761      5      1      26.5053743227   1997
  6623     1788      5      2       0.0000000000   1997
  6624     1761      5      1      25.5176476682   1997
  6624     1788      5      2       0.0000000000   1997
  6625     1761      5      1       1.2001917081   1997
  6625     1788      5      2       0.0000000000   1997
  6626     1761      5      1      13.8555516237   1997
  6626     1788      5      2       0.0000000000   1997
  6627     1761      5      1       8.1501676571   1997
  6627     1788      5      2       0.0000000000   1997
  6631     1788      5      1       6.6748070440   1997
  6632     1788      5      1       5.7863913954   1997
  6632     1614      3      2       0.0000000000   1997
  6633     1226      4      1       7.8776135488   1997
  6634     1226      4      1      74.5971775768   1997
  6635     1226      4      1     288.8553664401   1997
  6636     1226      4      1     681.0300684476   1997
  6637     1226      4      1      36.5217378011   1997
  6638     1152      3      1       0.6794882612   1997
  6639     1226      4      1       1.1314892053   1997
  6640     1788      5      1      17.1756257084   1997
  6640     1614      3      2       0.0000000000   1997
  6647     1788      5      1     242.5228599638   1997
  6648     1761      5      1       0.0000000000   1997
  6649     1301      3      1       0.0000000000   1997
  6650     1301      3      1       0.0000000000   1997
  6651     1301      3      1       0.0000000000   1997
  6652     1301      3      1       0.0000000000   1997
  6653     1301      3      1       0.0000000000   1997
  6654     1301      3      1       0.0000000000   1997
  6655     1301      3      1       0.0000000000   1997
  6656     1301      3      1       0.0000000000   1997
  6657     1301      3      1       0.0000000000   1997
  6658     1301      3      1       0.0000000000   1997
  6659     1301      3      1       0.0000000000   1997
  6660     1788      5      1      10.3286009726   1997
  6661     1726      5      1       0.0000000000   1997
  6662     1788      5      1      17.0004343262   1997
  6663     1614      3      1       0.0000000000   1997
  6664     1614      3      1       0.0000000000   1997
  6665     1614      3      1       1.0235647512   1997
  6666     1614      3      1       2.5589118779   1997
  6667     1614      3      1       0.0000000000   1997
  6668     1614      3      1      14.7474536680   1997
  6669     1614      3      1       0.0000000000   1997
  6670     1614      3      1       0.0000000000   1997
  6671     1614      3      1       0.0000000000   1997
  6672     1614      3      1       0.0000000000   1997
  6673     1614      3      1       0.0000000000   1997
  6674     1614      3      1       0.0000000000   1997
  6675     1614      3      1       0.0000000000   1997
  6676     1135      3      1       0.0000000000   1997
  6676     1614      3      2       0.0000000000   1997
  6677     1614      3      1       0.7403463738   1997
  6679     1152      3      1      62.4861568198   1997
  6681     1788      5      1      80.1454173859   1997
  6683     1788      5      1      77.2029507141   1997
  6684     1741      5      1       0.0000000000   1997
  6685     1741      5      1       7.8573104211   1997
  6686     1741      5      1      29.5376669534   1997
  6687     1741      5      1      54.8366458345   1997
  6688     1741      5      1      12.5676873187   1997
  6689     1741      5      1       0.0000000000   1997
  6690     1741      5      1       0.0000000000   1997
  6691     1741      5      1     143.5646464811   1997
  6692     1741      5      1      51.0725177371   1997
  6693     1741      5      1     108.6900255501   1997
  6694     1741      5      1      44.5247590529   1997
  6696     1788      5      1      68.5297724366   1997
  6697     1742      5      1       0.0000000000   1997
  6698     1135      3      1       8.0725440830   1997
  6698     1614      3      2       0.0000000000   1997
  6699     1788      5      1      15.1435184697   1997
  6699     1135      3      2       0.0000000000   1997
  6699     1614      3      3       0.0000000000   1997
  6701     1741      5      1      13.0678312853   1997
  6702     1741      5      1       1.2652540037   1997
  6702     1769      5      2       0.0000000000   1997
  6704     1761      5      1       1.2801737263   1997
  6705     1753      5      1       6.1198548867   1997
  6705     1788      5      2       0.0000000000   1997
  6705     1614      3      3       0.0000000000   1997
  6706     1761      5      1      96.6107412478   1997
  6706     1788      5      2       0.0000000000   1997
  6707     1741      5      1     115.2132769237   1997
  6725     1795      5      1      86.3762601281   1997
  6725     1520      4      2       0.0000000000   1997
  6725     1521      3      3       0.0000000000   1997
  6727     1736      5      1       0.0000000000   1997
  6727     1697      3      2       0.0000000000   1997
  6735     1678      4      1      10.5333344919   1997
  6743      942      4      1     100.2491353972   1997
  6744      942      4      1       7.0403186743   1997
  6745     1773      5      1       0.0000000000   1997
  6746     1773      5      1      33.6319622760   1997
  6747     1773      5      1      20.6982020479   1997
  6748     1773      5      1       0.0000000000   1997
  6749     1773      5      1       0.0000000000   1997
  6750     1773      5      1      13.0461394726   1997
  6751     1773      5      1       0.0000000000   1997
  6752     1773      5      1       0.0000000000   1997
  6753     1773      5      1       0.0000000000   1997
  6775     1730      5      1     198.4768396210   1997
  6775     1733      5      2       0.0000000000   1997
  6775     1740      5      3       0.0000000000   1997
  6776     1077      4      1       7.6559945805   1997
  6777     1077      4      1      17.7891524173   1997
  6778     1077      4      1      14.0524791181   1997
  6779     1077      4      1       9.5263606521   1997
  6780     1077      4      1      57.2844954334   1997
  6781     1077      4      1       4.4656163220   1997
  6782     1800      5      1      10.8584225322   1997
  6782     1261      4      2       0.0000000000   1997
  6783     1798      5      1      17.3322787845   1997
  6783     1800      5      2       0.0000000000   1997
  6783     1090      3      3       0.0000000000   1997
  6783     1261      4      4       0.0000000000   1997
  6784     1697      3      1       0.0000000000   1997
  6785     1090      3      1       2.2952763076   1997
  6790     1689      3      1       4.1267028442   1997
  6791     1736      5      1       0.3843217955   1997
  6798     1775      5      1     646.9158140277   1997
  6799     1775      5      1      40.0231195809   1997
  6800     1775      5      1     121.8714854987   1997
  6801     1775      5      1     739.3311267397   1997
  6802     1775      5      1     340.2605066504   1997
  6803     1775      5      1       0.0000000000   1997
  6804     1775      5      1     128.0837999878   1997
  6805     1775      5      1       0.0000000000   1997
  6815     1782      5      1       2.5895425009   1997
  6816     1784      5      1     239.1716978913   1997
  6817     1784      5      1      42.2516152200   1997
  6818     1784      5      1     790.4555653011   1997
  6819     1784      5      1      10.5314319088   1997
  6820     1784      5      1       0.0000000000   1997
  6821     1784      5      1      15.5854537785   1997
  6822     1784      5      1      70.2186361781   1997
  6823     1784      5      1       5.0650568519   1997
  6824     1784      5      1       0.0000000000   1997
  6824     1785      5      2       0.0000000000   1997
  6825     1784      5      1      39.6384172687   1997
  6825     1785      5      2       0.0000000000   1997
  6826     1784      5      1       0.0000000000   1997
  6826     1785      5      2       0.0000000000   1997
  6827     1784      5      1       0.0000000000   1997
  6827     1785      5      2       0.0000000000   1997
  6828     1784      5      1       0.0000000000   1997
  6828     1785      5      2       0.0000000000   1997
  6840     1777      5      1       1.1296270334   1997
  6841     1777      5      1       2.7458079966   1997
  6848     1784      5      1       6.2384432976   1997
  6849      767      4      1       0.7062388639   1997
  6850      767      4      1       0.4413992899   1997
  6851     1798      5      1      71.6002920589   1997
  6851     1090      3      2       0.0000000000   1997
  6852      776      3      1     583.2437127780   1997
  6853      776      3      1     196.5596700039   1997
  6854      776      3      1     977.6618828804   1997
  6855      776      3      1     266.2847761140   1997
  6863     1252      4      1       0.0000000000   1997
  6864     1736      5      1       0.0000000000   1997
  6864     1697      3      2       0.0000000000   1997
  6865     1730      5      1     134.7323767923   1997
  6865     1740      5      2       0.0000000000   1997
  6872     1084      4      1     113.9095555483   1997
  6873     1146      4      1     113.1371067909   1997
  6874     1736      5      1       0.0000000000   1997
  6874     1697      3      2       0.0000000000   1997
  6876     1736      5      1       0.0000000000   1997
  6878     1730      5      1       0.0000000000   1997
  6881     1733      5      1       0.0000000000   1997
  6886     1736      5      1       0.0000000000   1997
  6891      792      4      1      72.4827101222   1997
  6892      860      4      1       0.0000000000   1997
  6893      860      4      1       0.0000000000   1997
  6894      860      4      1       0.0000000000   1997
  6895      860      4      1       0.0000000000   1997
  6896      860      4      1       0.0000000000   1997
  6897      860      4      1      94.1611230070   1997
  6898      860      4      1      70.6919988649   1997
  6899      860      4      1     448.5006181007   1997
  6900      860      4      1       0.0000000000   1997
  6901      860      4      1      46.6280003924   1997
  6902      860      4      1      51.3415867178   1997
  6903      860      4      1       8.5172305513   1997
  6904      942      4      1     830.9684097838   1997
  6905     1749      5      1       7.8973689623   1997
  6905     1678      4      2       0.0000000000   1997
  6906     1739      5      1       0.0000000000   1997
  6907     1739      5      1       0.0000000000   1997
  6908     1739      5      1      30.6745870335   1997
  6909     1739      5      1     211.7605483091   1997
  6910     1584      4      1      21.3793268143   1997
  6911      942      4      1     177.3024844310   1997
  6912      942      4      1      75.9199168341   1997
  6913      942      4      1      22.6806936863   1997
  6914      942      4      1      15.2358858351   1997
  6915      942      4      1      59.8203850896   1997
  6916      942      4      1     744.5107190970   1997
  6917      942      4      1      87.7522082595   1997
  6918     1115      3      1       0.0000000000   1997
  6919     1730      5      1      64.5527435686   1997
  6919     1740      5      2       0.0000000000   1997
  6920     1775      5      1       0.0000000000   1997
  6921     1784      5      1       0.0000000000   1997
  6922     1784      5      1       0.0000000000   1997
  6923     1603      3      1       0.0000000000   1997
  6923     1604      3      2       0.0000000000   1997
  6924     1795      5      1       2.3541295463   1997
  6924     1520      4      2       0.0000000000   1997
  6924     1521      3      3       0.0000000000   1997
  6925     1736      5      1       0.0000000000   1997
  6925     1697      3      2       0.0000000000   1997
  6927     1736      5      1       0.0000000000   1997
  6927     1697      3      2       0.0000000000   1997
  6929     1603      3      1      10.9246324257   1997
  6931     1115      3      1       0.0000000000   1997
  6931     1603      3      2       0.0000000000   1997
  6931     1604      3      3       0.0000000000   1997
  6933     1733      5      1       0.0000000000   1997
  6935     1736      5      1       0.0000000000   1997
  6935     1697      3      2       0.0000000000   1997
  6936     1736      5      1       0.0000000000   1997
  6936     1697      3      2       0.0000000000   1997
  6938     1736      5      1       0.0000000000   1997
  6938     1697      3      2       0.0000000000   1997
  6940     1299      3      1       0.0000000000   1997
  6942      860      4      1       0.0000000000   1997
  6944     1689      3      1       4.7744689860   1997
  6945     1737      5      1       0.0000000000   1997
  6946     1738      5      1       0.0000000000   1997
  6947     1740      5      1       0.0000000000   1997
  6948      860      4      1       0.0000000000   1997
  6949     1784      5      1      13.1316288753   1997
  6951      767      4      1      67.1883285817   1997
  6952     1689      3      1      60.8027521874   1997
  6952     1691      3      2       0.0000000000   1997
  6954      767      4      1      49.8953698489   1997
  6956      767      4      1     112.1926645171   1997
  6957      942      4      1     109.4192056454   1997
  6958     1783      5      1       0.0000000000   1997
  6960      767      4      1      53.5380555407   1997
  6962      767      4      1       0.2133429901   1997
  6963     1115      3      1      55.5424903047   1997
  6963     1603      3      2       0.0000000000   1997
  6963     1604      3      3       0.0000000000   1997
  6963     1689      3      4       0.0000000000   1997
  6964      792      4      1     171.5400674366   1997
  6965      792      4      1     623.7006213162   1997
  6966     1615      3      1       1.9679051676   1997
  6966     1689      3      2       0.0000000000   1997
  6967      942      4      1     163.5100250096   1997
  6968      942      4      1     169.7277935703   1997
  6969      942      4      1     172.1481330101   1997
  6970     1784      5      1       0.8680852702   1997
  6972      767      4      1     187.7074579800   1997
  6974      767      4      1     167.3074541306   1997
  6976      224      1      1       2.3614862011   1997
  6976     1689      3      2       0.0000000000   1997
  6976     1691      3      3       0.0000000000   1997
  6977     1736      5      1     468.9349952856   1997
  6977     1697      3      2       0.0000000000   1997
  6979     1730      5      1       0.0000000000   1997
  6980     1736      5      1      75.9769943285   1997
  6980     1697      3      2       0.0000000000   1997
  6982      860      4      1      43.5215894702   1997
  6983     1798      5      1      17.9425006189   1997
  6983     1090      3      2       0.0000000000   1997
  6984     1733      5      1       0.0000000000   1997
  6985     1736      5      1       0.0000000000   1997
  6986     1736      5      1       0.0000000000   1997
  6986     1697      3      2       0.0000000000   1997
  6987     1736      5      1       0.0000000000   1997
  6987     1697      3      2       0.0000000000   1997
  6988     1736      5      1       0.0000000000   1997
  6988     1697      3      2       0.0000000000   1997
  6989     1736      5      1       0.0000000000   1997
  6989     1697      3      2       0.0000000000   1997
  6990     1736      5      1       0.0000000000   1997
  6990     1697      3      2       0.0000000000   1997
  6991     1736      5      1       0.0000000000   1997
  6991     1697      3      2       0.0000000000   1997
  6992     1736      5      1       0.0000000000   1997
  6992     1697      3      2       0.0000000000   1997
  6993     1736      5      1       0.0000000000   1997
  6993     1697      3      2       0.0000000000   1997
  6994     1736      5      1       0.0000000000   1997
  6994     1697      3      2       0.0000000000   1997
  6995     1736      5      1       0.0000000000   1997
  6995     1697      3      2       0.0000000000   1997
  6996     1736      5      1       0.0000000000   1997
  6996     1697      3      2       0.0000000000   1997
  6997     1775      5      1      69.6637160938   1997
  6998     1775      5      1     254.0547179722   1997
  6999     1775      5      1     341.0597184107   1997
  7000     1775      5      1      62.5873751786   1997
  7001     1784      5      1     208.6975162826   1997
  7002      767      4      1      11.3074321547   1997
  7003      767      4      1       1.9298535047   1997
  7004      767      4      1     191.7033899426   1997
  7005      767      4      1      46.5749817421   1997
  7006     1750      5      1      17.2957491881   1997
  7006     1678      4      2       0.0000000000   1997
  7018     1730      5      1     183.0735264690   1997
  7019      942      4      1      23.5981192794   1997
  7020      942      4      1      41.7472404280   1997
  7021      942      4      1      20.6940163650   1997
  7022      942      4      1     201.5439304916   1997
  7023      942      4      1      67.8946942844   1997
  7024      942      4      1      31.9890183098   1997
  7025      942      4      1      41.5869160882   1997
  7026      942      4      1     104.8615042992   1997
  7027      942      4      1      41.9446017197   1997
  7028      942      4      1     766.2401212102   1997
  7029      942      4      1      84.3780404691   1997
  7030      942      4      1      74.6489912925   1997
  7031      942      4      1      58.6485207104   1997
  7033      767      4      1      85.1485866433   1997
  7034      776      3      1      48.4828921212   1997
  7036     1774      5      1      85.3914830916   1997
  7037     1774      5      1     134.5017202955   1997
  7038     1774      5      1      47.2264262114   1997
  7039     1774      5      1      55.7114396881   1997
  7040     1774      5      1      66.7616426014   1997
  7041     1774      5      1      32.9872402672   1997
  7042     1774      5      1      14.8168101874   1997
  7043     1774      5      1     119.0773518901   1997
  7044     1774      5      1       4.8181649790   1997
  7045     1774      5      1      35.1100157029   1997
  7046     1774      5      1       0.0000000000   1997
  7047     1774      5      1      48.9334238102   1997
  7048     1774      5      1      70.3316496170   1997
  7049     1775      5      1       0.0000000000   1997
  7050     1775      5      1      72.1388499282   1997
  7051     1775      5      1       0.0000000000   1997
  7052     1775      5      1      42.3312066150   1997
  7053     1775      5      1       0.0000000000   1997
  7054     1775      5      1     173.5244616581   1997
  7055     1775      5      1       0.0000000000   1997
  7056     1775      5      1       0.0000000000   1997
  7057     1775      5      1       0.0000000000   1997
  7058     1775      5      1       0.0000000000   1997
  7059     1775      5      1       0.0000000000   1997
  7060     1775      5      1       0.0000000000   1997
  7061     1775      5      1       0.0000000000   1997
  7062     1775      5      1       0.0000000000   1997
  7063     1775      5      1     251.9547735343   1997
  7064     1775      5      1      43.1725288823   1997
  7065     1775      5      1       0.0000000000   1997
  7066     1775      5      1      24.0483972907   1997
  7067     1777      5      1       0.0000000000   1997
  7068     1782      5      1      21.2607324648   1997
  7069     1782      5      1       0.0000000000   1997
  7070     1782      5      1       0.0000000000   1997
  7071     1782      5      1       0.0000000000   1997
  7072     1782      5      1      71.2967666277   1997
  7073     1782      5      1       0.0000000000   1997
  7074     1782      5      1       2.6520740670   1997
  7075     1782      5      1       0.0000000000   1997
  7076     1782      5      1       0.0000000000   1997
  7077     1782      5      1       0.0000000000   1997
  7078     1782      5      1      25.9462873985   1997
  7079     1782      5      1       1.8833036370   1997
  7080     1736      5      1     199.5765960989   1997
  7080     1697      3      2       0.0000000000   1997
  7081     1784      5      1      30.1648215892   1997
  7082     1784      5      1       7.6556140638   1997
  7083     1784      5      1      44.4421860352   1997
  7084     1784      5      1       4.7433300419   1997
  7085     1784      5      1      14.9452979692   1997
  7086     1784      5      1      53.7803177947   1997
  7087     1784      5      1       0.0000000000   1997
  7088     1784      5      1       0.0000000000   1997
  7089     1784      5      1       0.0000000000   1997
  7090     1784      5      1      54.0505480209   1997
  7091     1784      5      1       7.7473185715   1997
  7092     1784      5      1      38.2048842874   1997
  7093     1784      5      1       4.9241388602   1997
  7094     1775      5      1      22.2003548613   1997
  7095     1775      5      1      62.8917884820   1997
  7096     1775      5      1      26.5998881287   1997
  7097     1775      5      1     193.0913877672   1997
  7098     1775      5      1     263.6209060315   1997
  7099     1775      5      1      17.3660179256   1997
  7100     1775      5      1      72.9404716271   1997
  7101     1775      5      1      63.5573120665   1997
  7102     1783      5      1       8.9015523469   1997
  7103     1784      5      1     140.3345328664   1997
  7104     1115      3      1       0.5738190769   1997
  7104     1603      3      2       0.0000000000   1997
  7104     1604      3      3       0.0000000000   1997
  7105     1603      3      1       4.3036430768   1997
  7105     1604      3      2       0.0000000000   1997
  7105     1681      3      3       0.0000000000   1997
  7105     1682      3      4       0.0000000000   1997
  7106     1689      3      1      38.7213721922   1997
  7107     1115      3      1      16.0611629845   1997
  7107     1603      3      2       0.0000000000   1997
  7107     1604      3      3       0.0000000000   1997
  7107     1689      3      4       0.0000000000   1997
  7109     1775      5      2     181.6698006238   1997
  7110     1584      4      1       1.0667149507   1997
  7112     1798      5      1      76.4894233893   1997
  7112     1090      3      2       0.0000000000   1997
  7113     1730      5      1      18.7318823663   1997
  7113     1733      5      2       0.0000000000   1997
  7114     1730      5      1      15.8818128132   1997
  7114     1733      5      2       0.0000000000   1997
  7115     1730      5      1       2.0376665496   1997
  7115     1733      5      2       0.0000000000   1997
  7116     1730      5      1       0.0000000000   1997
  7116     1733      5      2       0.0000000000   1997
  7117     1730      5      1      97.1183714106   1997
  7117     1733      5      2       0.0000000000   1997
  7118     1730      5      1      13.6453263248   1997
  7118     1733      5      2       0.0000000000   1997
  7119     1730      5      1      38.3478317012   1997
  7119     1733      5      2       0.0000000000   1997
  7120     1730      5      1      28.4464084915   1997
  7120     1733      5      2       0.0000000000   1997
  7121     1730      5      1      70.2098842957   1997
  7121     1733      5      2       0.0000000000   1997
  7122     1730      5      1      53.3256004227   1997
  7122     1733      5      2       0.0000000000   1997
  7123     1730      5      1      15.7870007531   1997
  7123     1733      5      2       0.0000000000   1997
  7124     1730      5      1       0.0000000000   1997
  7124     1733      5      2       0.0000000000   1997
  7125     1730      5      1      10.7995692935   1997
  7125     1733      5      2       0.0000000000   1997
  7126     1730      5      1       0.0000000000   1997
  7126     1733      5      2       0.0000000000   1997
  7127     1730      5      1      44.2429221603   1997
  7127     1733      5      2       0.0000000000   1997
  7128     1730      5      1      18.1110694857   1997
  7128     1733      5      2       0.0000000000   1997
  7129     1146      4      1      84.5473703691   1997
  7131     1252      4      1       7.8274807414   1997
  7132     1749      5      1      75.2184978476   1997
  7132     1678      4      2       0.0000000000   1997
  7133     1750      5      1     142.5070291416   1997
  7133     1678      4      2       0.0000000000   1997
  7134      717      4      1      11.1232621062   1997
  7135     1252      4      1     160.8211042490   1997
  7136      717      4      1      26.1788464784   1997
  7136     1252      4      2       0.0000000000   1997
  7138     1798      5      1       5.0760918342   1997
  7138     1090      3      2       0.0000000000   1997
  7139     1299      3      1      24.3606746044   1997
  7140     1736      5      1      23.1232345261   1997
  7140     1697      3      2       0.0000000000   1997
  7141     1775      5      1     308.6528928420   1997
  7142     1784      5      1      56.1637471214   1997
  7144     1798      5      1     530.7892417585   1997
  7144     1090      3      2       0.0000000000   1997
  7145     1798      5      1     553.2544361938   1997
  7145     1090      3      2       0.0000000000   1997
  7146     1603      3      1      28.3018121724   1997
  7146     1689      3      2       0.0000000000   1997
  7147     1115      3      1      41.3050801048   1997
  7147     1603      3      2       0.0000000000   1997
  7147     1604      3      3       0.0000000000   1997
  7147     1689      3      4       0.0000000000   1997
  7150     1774      5      1     282.9359301321   1997
  7151     1783      5      1      65.9727047901   1997
  7152     1798      5      1     244.8582652377   1997
  7152     1090      3      2       0.0000000000   1997
  7153     1115      3      1     132.3530697290   1997
  7153     1603      3      2       0.0000000000   1997
  7153     1604      3      3       0.0000000000   1997
  7153     1689      3      4       0.0000000000   1997
