 HRU   WRID   WSRC   PRIOR   WATER(acre-ft)   YEAR
   244     1793      5      3       0.0000000000   1997
   244     1711      3      4       0.0000000000   1997
   245     1791      5      1      51.1841789834   1997
   245     1792      5      2       0.0000000000   1997
   245     1793      5      3       0.0000000000   1997
   245     1689      3      4       0.0000000000   1997
   245     1711      3      5       0.0000000000   1997
   246     1791      5      1      33.1712504336   1997
   246     1792      5      2       0.0000000000   1997
   246     1793      5      3       0.0000000000   1997
   246     1143      4      4       0.0000000000   1997
   246     1689      3      5       0.0000000000   1997
   246     1711      3      6       0.0000000000   1997
   247     1791      5      1       0.0000000000   1997
   247     1792      5      2       0.0000000000   1997
   247     1793      5      3       0.0000000000   1997
   247     1100      3      4       0.0000000000   1997
   247     1143      4      5       0.0000000000   1997
   247     1689      3      6       0.0000000000   1997
   247     1711      3      7       0.0000000000   1997
   248     1791      5      1     346.7625337312   1997
   248     1792      5      2       0.0000000000   1997
   248     1793      5      3       0.0000000000   1997
   249     1791      5      1     200.7235137858   1997
   249     1792      5      2       0.0000000000   1997
   249     1793      5      3       0.0000000000   1997
   250     1791      5      1       0.0000000000   1997
   250     1792      5      2       0.0000000000   1997
   250     1793      5      3       0.0000000000   1997
   251     1791      5      1       0.0000000000   1997
   251     1792      5      2       0.0000000000   1997
   251     1793      5      3       0.0000000000   1997
   252     1791      5      1       0.0000000000   1997
   252     1792      5      2       0.0000000000   1997
   252     1793      5      3       0.0000000000   1997
   253     1791      5      1       0.0000000000   1997
   253     1792      5      2       0.0000000000   1997
   253     1793      5      3       0.0000000000   1997
   254     1791      5      1       0.0000000000   1997
   254     1792      5      2       0.0000000000   1997
   254     1793      5      3       0.0000000000   1997
   254      721      4      4       0.0000000000   1997
   255     1100      3      1      17.6922443622   1997
   255     1143      4      2       0.0000000000   1997
   255     1689      3      3       0.0000000000   1997
   255     1711      3      4       0.0000000000   1997
   266      154      1      1     125.0721391845   1997
   267      911      4      1      47.0919869474   1997
   268      757      3      1       0.8234391677   1997
   269      762      4      1      13.1728330393   1997
   270      762      4      1     102.2059933990   1997
   271      762      4      1      58.8378887516   1997
   272      762      4      1      17.8803933560   1997
   273      762      4      1      22.8246273097   1997
   274      762      4      1      10.8161051716   1997
   275      762      4      1      17.3046988730   1997
   276      628      4      1       4.2811707378   1997
   277      911      4      1      29.1609341221   1997
   278      911      4      1      40.2549465852   1997
   279      911      4      1       9.0863482186   1997
   280      154      1      1       6.2645305402   1997
   290     1379      4      1       1.2235735685   1997
   290     1380      4      2       0.0000000000   1997
   303      788      3      1       0.2266308598   1997
   304     1380      4      1      42.4017701296   1997
   304     1408      4      2       0.0000000000   1997
   305      691      4      1      29.3550716282   1997
   305     1408      4      2       0.0000000000   1997
   306      788      3      1       0.0000000000   1997
   307      655      3      1      53.4301789227   1997
   308      655      3      1      51.7730178804   1997
   309      655      3      1       1.8120186081   1997
   310      655      3      1       8.2796355874   1997
   311      655      3      1       4.2025423057   1997
   317      807      4      1       3.2464562192   1997
   324      157      1      1      10.7354171535   1997
   325     1380      4      1       1.9365079128   1997
   325     1408      4      2       0.0000000000   1997
   326      628      4      1       0.5097480562   1997
   328      655      3      1      20.5269564553   1997
   329      655      3      1      53.2784061690   1997
   330      655      3      1      74.6168053006   1997
   331      762      4      1      12.5449024052   1997
   332      762      4      1      64.2159158333   1997
   333      762      4      1      22.2285387913   1997
   334      762      4      1       2.3526833363   1997
   335      762      4      1      10.4439397335   1997
   336      762      4      1      54.3712522572   1997
   337      762      4      1       5.5038531383   1997
   338      762      4      1      15.9020005505   1997
   339      762      4      1       4.0779844496   1997
   340      691      4      1       1.1210892565   1997
   342      732      4      1      29.2543696520   1997
   344      756      3      1       1.4813267545   1997
   345      757      3      1       0.4937755848   1997
   348      655      3      1      70.9440966052   1997
   349      807      4      1       0.6279306341   1997
   350      732      4      1      42.8117073776   1997
   351     1379      4      1       2.3446628249   1997
   351     1380      4      2       0.0000000000   1997
   351     1408      4      3       0.0000000000   1997
   356      739      3      1       1.9365079128   1997
   371      937      4      1       1.8811919887   1997
   372      151      1      1      55.7240693829   1997
   372     1417      4      2       0.0000000000   1997
   373      152      1      1      27.3660013653   1997
   389      689      4      1       4.6986178757   1997
   389     1397      4      2       0.0000000000   1997
   390      689      4      1      21.1902687916   1997
