   217     9999      0      0      1
   218     9999      0      0      1
   219      945      4      2      1
   220     9999      0      0      1
   221     9999      0      0      1
   222     9999      0      0      1
   223     9999      0      0      1
   224     9999      0      0      1
   225     1791      5      0      1
   225     1792      5      0      2
   225     1793      5      0      3
   226     1791      5      0      1
   226     1792      5      0      2
   226     1793      5      0      3
   226     1100      3      3      4
   227     9999      0      0      1
   228     1791      5      0      1
   228     1792      5      0      2
   228     1793      5      0      3
   228     1123      3      3      4
   229     1791      5      0      1
   229     1792      5      0      2
   229     1793      5      0      3
   229     1144      3      3      4
   230     1791      5      0      1
   230     1792      5      0      2
   230     1793      5      0      3
   230     1100      3      3      4
   231     1791      5      0      1
   231     1792      5      0      2
   231     1793      5      0      3
   231     1100      3      3      4
   231     1332      3      3      5
   232     1791      5      0      1
   232     1792      5      0      2
   232     1793      5      0      3
   233     1791      5      0      1
   233     1792      5      0      2
   233     1793      5      0      3
   234     9999      0      0      1
   235     1791      5      0      1
   235     1792      5      0      2
   235     1793      5      0      3
   235     1711      3      3      4
   236     1791      5      0      1
   236     1792      5      0      2
   236     1793      5      0      3
   236     1608      3      3      4
   237     1791      5      0      1
   237     1792      5      0      2
   237     1793      5      0      3
   237     1212      4      3      4
   237     1625      3      3      5
   238     1791      5      0      1
   238     1792      5      0      2
   238     1793      5      0      3
   238     1689      3      3      4
   239     1791      5      0      1
   239     1792      5      0      2
   239     1793      5      0      3
   239     1123      3      3      4
   239     1689      3      3      5
   240     1791      5      0      1
   240     1792      5      0      2
   240     1793      5      0      3
   240     1332      3      3      4
   240     1689      3      3      5
   241     1791      5      0      1
   241     1792      5      0      2
   241     1793      5      0      3
   241     1100      3      3      4
   241     1332      3      3      5
   241     1689      3      3      6
   242     1143      4      3      1
   242     1689      3      3      2
   242     1711      3      3      3
   243     1791      5      0      1
   243     1792      5      0      2
   243     1793      5      0      3
   244     1791      5      0      1
   244     1792      5      0      2
   244     1793      5      0      3
   244     1711      3      3      4
   245     1791      5      0      1
   245     1792      5      0      2
   245     1793      5      0      3
   245     1689      3      3      4
   245     1711      3      3      5
   246     1791      5      0      1
   246     1792      5      0      2
   246     1793      5      0      3
   246     1143      4      3      4
   246     1689      3      3      5
   246     1711      3      3      6
   247     1791      5      0      1
   247     1792      5      0      2
   247     1793      5      0      3
   247     1100      3      3      4
   247     1143      4      3      5
   247     1689      3      3      6
   247     1711      3      3      7
   248     1791      5      0      1
   248     1792      5      0      2
   248     1793      5      0      3
   249     1791      5      0      1
   249     1792      5      0      2
   249     1793      5      0      3
   250     1791      5      0      1
   250     1792      5      0      2
   250     1793      5      0      3
   251     1791      5      0      1
   251     1792      5      0      2
   251     1793      5      0      3
   252     1791      5      0      1
   252     1792      5      0      2
   252     1793      5      0      3
   253     1791      5      0      1
   253     1792      5      0      2
   253     1793      5      0      3
   254     1791      5      0      1
   254     1792      5      0      2
   254     1793      5      0      3
   254      721      4      3      4
   255     1100      3      3      1
   255     1143      4      3      2
   255     1689      3      3      3
   255     1711      3      3      4
   256     9999      0      0      1
   257     9999      0      0      1
   258     9999      0      0      1
   259     9999      0      0      1
